id,name,quantity,createdAt,updatedAt,RecipeId
1,broccoli,"2 cups","2020-12-06 02:05:34","2020-12-06 02:05:34",1
2,cauliflower,"2 head","2020-12-06 02:05:34","2020-12-06 02:05:34",1
3,"cooked brown rice","3 cups","2020-12-06 02:05:34","2020-12-06 02:05:34",1
4,"coconut oil","1 T","2020-12-06 02:05:34","2020-12-06 02:05:34",1
5,garlic,"5 cloves","2020-12-06 02:05:34","2020-12-06 02:05:34",1
6,"low sodium soy sauce","3 T","2020-12-06 02:05:35","2020-12-06 02:05:35",1
7,"grapeseed oil","1 T","2020-12-06 02:05:34","2020-12-06 02:05:34",1
8,peas,"1 cup","2020-12-06 02:05:35","2020-12-06 02:05:35",1
9,salt,"to taste","2020-12-06 02:05:35","2020-12-06 02:05:35",1
10,scallion,7,"2020-12-06 02:05:35","2020-12-06 02:05:35",1
11,"sesame oil","2 T","2020-12-06 02:05:35","2020-12-06 02:05:35",1
12,basil,"1/4 cup","2020-12-06 02:05:36","2020-12-06 02:05:36",2
13,flour,"1 cup","2020-12-06 02:05:36","2020-12-06 02:05:36",2
14,"garlic powder","1/4 T","2020-12-06 02:05:37","2020-12-06 02:05:37",2
15,"garlic salt","2 servings","2020-12-06 02:05:37","2020-12-06 02:05:37",2
16,potatoes,4,"2020-12-06 02:05:37","2020-12-06 02:05:37",2
17,"vegetable oil","2 servings","2020-12-06 02:05:37","2020-12-06 02:05:37",2
18,banana,"1/4 cup","2020-12-06 02:05:38","2020-12-06 02:05:38",3
19,"graham cracker crumbs","2 tbsp","2020-12-06 02:05:38","2020-12-06 02:05:38",3
20,"soy milk","1 cup","2020-12-06 02:05:39","2020-12-06 02:05:39",3
21,strawberries,"1/2 cup","2020-12-06 02:05:39","2020-12-06 02:05:39",3
22,"vanilla yogurt","1 container","2020-12-06 02:05:39","2020-12-06 02:05:39",3
23,"balsamic vinegar","3 tbsp","2020-12-06 02:05:40","2020-12-06 02:05:40",4
24,garlic,"1 clove","2020-12-06 02:05:40","2020-12-06 02:05:40",4
25,kale,"1 bunch","2020-12-06 02:05:40","2020-12-06 02:05:40",4
26,"olive oil","2 servings","2020-12-06 02:05:41","2020-12-06 02:05:41",4
27,"canned black beans","15 oz","2020-12-06 02:05:41","2020-12-06 02:05:41",5
28,"canned green chile peppers","4 oz","2020-12-06 02:05:41","2020-12-06 02:05:41",5
29,"canned tomatoes","28 oz","2020-12-06 02:05:41","2020-12-06 02:05:41",5
30,"chicken broth","1 oz","2020-12-06 02:05:41","2020-12-06 02:05:41",5
31,chili,"2 tsp","2020-12-06 02:05:42","2020-12-06 02:05:42",5
32,"fresh cilantro","1/4 cup","2020-12-06 02:05:42","2020-12-06 02:05:42",5
33,onion,1,"2020-12-06 02:05:42","2020-12-06 02:05:42",5
34,"skinless boneless chicken breasts",2,"2020-12-06 02:05:43","2020-12-06 02:05:43",5
35,water,"1 1/4 cups","2020-12-06 02:05:43","2020-12-06 02:05:43",5
36,"whole kernel corn","1 can","2020-12-06 02:05:44","2020-12-06 02:05:44",5
